feature,corr_with_churn,u_stat,p_value,rank_biserial,effect_size_label,churn_q1_pct,churn_q4_pct,q4_minus_q1_pct
Social_Media_Engagement_Score,-0.17982947290137655,196189396.5,0.0,-0.2361676025287256,Small,41.97639176902217,19.743589743589745,-22.232802025432427
Login_Frequency,-0.2043787167724411,187085024.5,0.0,-0.2716140354975448,Small,43.45742464231143,19.23384588036619,-24.22357876194524
Mobile_App_Usage,-0.21137587535541166,186822763.5,0.0,-0.27263510723723594,Small,44.802215189873415,19.687323716657264,-25.11489147321615
Session_Duration_Avg,-0.21951233580811577,184940334.5,0.0,-0.2799640469342366,Small,45.50678371907422,19.260388256056473,-26.24639546301775
Pages_Per_Session,-0.22470794995049476,182327891.5,0.0,-0.2901351807240643,Small,45.375231624459545,18.990031050825298,-26.385200573634247
