feature,corr_with_churn,u_stat,p_value,rank_biserial,effect_size_label,churn_q1_pct,churn_q4_pct,q4_minus_q1_pct
Average_Order_Value,0.04228787925297061,306492320.0,2.2416351328988464e-252,0.19327939108132708,Small,21.862251019918407,39.94239078252521,18.0801397626068
Days_Since_Last_Purchase,0.14801527780499396,299266859.5,5.8460094540957244e-185,0.16514820297937982,Small,22.423376210894077,37.99291807500402,15.569541864109944
Discount_Usage_Rate,-0.07568231360923187,230497443.5,1.474219325135321e-72,-0.10259464568155385,Small,35.603764555750516,25.69249297470895,-9.911271581041564
Total_Purchases,-0.16039263032490916,195374059.0,0.0,-0.239341990179045,Small,45.484120836560805,23.164867071953545,-22.31925376460726
